عنوان,نوع معامله,محله,متراژ,سال ساخت,تعداد اتاق,قیمت کل,قیمت هر متر,طبقه,تاریخ انتشار,لینک
رهن اجاره مغازه رسالت ۳۳ .مساحت ۳۰ متری,رهن کامل,لیالستان,۳۰,۱۳۹۵,بدون اتاق,,,,۲۶ مرداد ۱۴۰۵، ۱۸:۰۵,https://divar.ir/v/gaDyRBhz
دوقطعه زمین ۷۰۰متری چسبیده به هم جهت فروش,فروش,بازکیاگوراب,,,,"‏۱,۸۵۰,۰۰۰,۰۰۰ تومان","‏۲,۶۴۲,۰۰۰ تومان",,۲۴ مرداد ۱۴۰۵، ۰۷:۰۱,https://divar.ir/v/ga_1NO4s
فروش زمین زمین تالاب حاجی آباد لاهیجان ۱۹۸متر,فروش,کوی خزر,,,,"‏۲,۱۵۰,۰۰۰,۰۰۰ تومان","‏۱۰,۷۵۰,۰۰۰ تومان",,۱۰ مرداد ۱۴۰۵، ۰۷:۲۷,https://divar.ir/v/gat5GM4_
رهن اجاره مغازه اوایل بعثت .قابل تبدیل هم هست,رهن و اجاره,گلستان,۱۸,۱۳۹۰,بدون اتاق,,,,۴ شهریور ۱۴۰۵، ۲۲:۲۸,https://divar.ir/v/gaPaz4fw
اجاره مغازه براصلی نخجیر یازده .با سرویس بهداشتی,رهن و اجاره,لیالستان,۲۷,۱۳۹۵,بدون اتاق,,,,۵ شهریور ۱۴۰۵، ۱۰:۰۴,https://divar.ir/v/gaPqdTlH
ویوشیطانکوه خیابون کارگر_ نورگیرشیکFull,فروش,رجایی,۶۶,۱۳۹۹,۱,"‏۸,۵۰۰,۰۰۰,۰۰۰ تومان","‏۱۲۸,۷۸۷,۰۰۰ تومان",۲,۲۲ مرداد ۱۴۰۵، ۱۶:۳۲,https://divar.ir/v/ga9BcIhf
فروش زمین ۲۶۰ متری چوشل,فروش,شیخ زاهد,,,,"‏۷,۵۰۰,۰۰۰,۰۰۰ تومان","‏۲۸,۸۴۶,۰۰۰ تومان",,۹ مرداد ۱۴۰۵، ۱۳:۴۰,https://divar.ir/v/gasRXhJ8
پیش فروش آپارتمان گلستان زوج,فروش,گلستان,,,,,,,۵ شهریور ۱۴۰۵، ۱۸:۲۶,https://divar.ir/v/gaQ-UzRy
اجاره ویلای لاکچری همراه با استخر چهار فصل,رهن و اجاره,بازکیاگوراب,۱۳۰,۱۴۰۴,۴,,,,۵ شهریور ۱۴۰۵، ۱۸:۰۸,https://divar.ir/v/gaQuUuP8
فروش مغازه ۱۲ متری در پاساژ ارژنگ,فروش,انقلاب,۱۲,۱۳۹۱,بدون اتاق,"‏۲,۱۰۰,۰۰۰,۰۰۰ تومان","‏۱۷۵,۰۰۰,۰۰۰ تومان",,۱۰ فروردین ۱۴۰۵، ۱۶:۳۳,https://divar.ir/v/QaKXmS1X
اجاره آپارتمان 170 متری کارگر,رهن و اجاره,شیشه گران,۱۷۰,۱۴۰۴,۳,,,۲ از ۵,۲۷ مرداد ۱۴۰۵، ۱۸:۵۸,https://divar.ir/v/gaEm35Kq
زمین گیلان لاهیجان با سند تک برگ کاربری مسکونی,فروش,لیالستان,,,,"‏۴,۳۰۰,۰۰۰,۰۰۰ تومان","‏۹,۱۴۸,۰۰۰ تومان",,۴ مرداد ۱۴۰۵، ۰۲:۳۶,https://divar.ir/v/gal5DZ3L
خانه ویلایی,فروش,فیاض,۱۱۰,۱۳۸۰,۲,"‏۳۸,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۹۰,۰۰۰,۰۰۰ تومان",,۵ شهریور ۱۴۰۵، ۱۷:۴۲,https://divar.ir/v/gaQWUsm6
250 متر زمین _ سند تک برگ_ بر آسفالت,فروش,کوی زمانی,,,,"‏۲,۷۵۰,۰۰۰,۰۰۰ تومان","‏۱۱,۰۰۰,۰۰۰ تومان",,۵ شهریور ۱۴۰۵، ۱۷:۳۵,https://divar.ir/v/gaQOk7NE
زمین ۵۰۰مترابتدا شیخ زاهدمناسب ساخت _فوق کاسبی,فروش,شیخ زاهد,,,,"‏۷۵,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۵۰,۰۰۰,۰۰۰ تومان",,۵ شهریور ۱۴۰۵، ۱۷:۲۸,https://divar.ir/v/gaQKUhlB
4560 متر شالیزار,فروش,کوی استادان,,,بدون اتاق,"‏۲,۹۷۰,۰۰۰,۰۰۰ تومان","‏۶۵۱,۰۰۰ تومان",,۵ شهریور ۱۴۰۵، ۱۷:۲۶,https://divar.ir/v/gaQGUxvT
1500 متر زمین کشاورزی,فروش,کاروانسرابر,,,بدون اتاق,"‏۹۷۵,۰۰۰,۰۰۰ تومان","‏۶۵۰,۰۰۰ تومان",,۵ شهریور ۱۴۰۵، ۱۷:۱۸,https://divar.ir/v/gaQCEEiR
خانه مستقل دو طبقه همراه بهارخواب,فروش,بازکیاگوراب,۳۰۰,۱۳۹۰,۲,"‏۱۳,۵۰۰,۰۰۰,۰۰۰ تومان","‏۴۵,۰۰۰,۰۰۰ تومان",۲ از ۲,۵ شهریور ۱۴۰۵، ۱۷:۱۶,https://divar.ir/v/gaQ-jUEg
فروش زمین مسکونی,فروش,لیالستان,,,,"‏۴,۵۰۰,۰۰۰,۰۰۰ تومان","‏۲۲,۵۰۰,۰۰۰ تومان",,۵ شهریور ۱۴۰۵، ۱۷:۱۳,https://divar.ir/v/gaQ6jtCW
پیش فورش واحد 110 متری در میدان معلم,فروش,شیشه گران,,,,,,,۵ شهریور ۱۴۰۵، ۱۷:۰۹,https://divar.ir/v/gaQ2z25g
زمین باغی مسکونی با پروانه ساخت,فروش,آهندان,,,,"‏۱۸,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۲,۰۰۰,۰۰۰ تومان",,۱۷ مرداد ۱۴۰۵، ۱۹:۳۲,https://divar.ir/v/ga3NVE0d
فروش فوری,فروش,گلستان,,,,,,,۲۲ اسفند ۱۴۰۴، ۱۳:۱۱,https://divar.ir/v/Qazesozg
اجاره یا رهن یک واحد ویلایی,رهن و اجاره,بازکیاگوراب,۶۰,۱۴۰۲,۱,,,,۱۴ مرداد ۱۴۰۵، ۲۰:۴۶,https://divar.ir/v/gaz92fPL
واحد ۱۱۰مترنوسازلاکچری_ فوق کاسبی _چسبیده ب استخر,فروش,گلستان,۱۱۰,۱۴۰۵,۲,"‏۱۸,۵۰۰,۰۰۰,۰۰۰ تومان","‏۱۶۸,۱۸۱,۰۰۰ تومان",۳,۵ شهریور ۱۴۰۵، ۱۶:۵۰,https://divar.ir/v/gaQmjr-4
فروش فوری زمین مسکونی با پروانه,فروش,قیام,,,,"‏۶,۸۰۰,۰۰۰,۰۰۰ تومان","‏۱۶,۸۳۱,۰۰۰ تومان",,۲۱ خرداد ۱۴۰۵، ۱۰:۵۳,https://divar.ir/v/gaqkF24R
واحدتجاری پزشکی اداری _لاهیجان_,فروش,قیام,۸۲,۱۳۹۰,۱,"‏۸,۲۰۰,۰۰۰,۰۰۰ تومان","‏۱۰۰,۰۰۰,۰۰۰ تومان",۴,۵ شهریور ۱۴۰۵، ۱۶:۵۰,https://divar.ir/v/gaQmjfU1
فروش فوری زمین با سند تک برگ,فروش,شهید آوینی,,,,"‏۴,۷۰۰,۰۰۰,۰۰۰ تومان","‏۱۵,۶۶۶,۰۰۰ تومان",,۱۸ مرداد ۱۴۰۵، ۱۴:۳۲,https://divar.ir/v/ga4h1hWK
اجاره مغازه در انقلاب,رهن و اجاره,فیاض,۱۸,۱۳۸۰,بدون اتاق,,,,۵ شهریور ۱۴۰۵، ۱۶:۴۹,https://divar.ir/v/gaQmTU5N
براصلی علیسرود بدون واسطه با پروانه,فروش,لیل,,,,"‏۸,۵۰۰,۰۰۰,۰۰۰ تومان","‏۱۷,۰۰۰,۰۰۰ تومان",,۱۷ مرداد ۱۴۰۵، ۱۵:۳۵,https://divar.ir/v/ga3tBaJr
زمین باتغییرکاربری ومجوزساخت,فروش,لیالستان,,,,"‏۱۵,۲۰۰,۰۰۰,۰۰۰ تومان","‏۳۳,۳۳۳,۰۰۰ تومان",,۵ شهریور ۱۴۰۵، ۱۶:۲۲,https://divar.ir/v/gaQGjAuf
۸۰متر بسیارخوش‌نقشه‌ با۲تراس‌ و غرق‌نور,فروش,شیشه گران,۸۰,۱۳۹۳,۲,"‏۵,۳۰۰,۰۰۰,۰۰۰ تومان","‏۶۶,۲۵۰,۰۰۰ تومان",۱,۳۰ مرداد ۱۴۰۵، ۰۰:۲۰,https://divar.ir/v/gaHimDPn
فروش شالیزار در لاهیجان,فروش,قیام,,,,"‏۲,۸۰۰,۰۰۰,۰۰۰ تومان","‏۵۰۹,۰۰۰ تومان",,۵ شهریور ۱۴۰۵، ۱۶:۰۰,https://divar.ir/v/gaQ2yr86
۱۷ملیاردمرکز شهر عرصه و عیان با خانه دوطبقه ۲۶۵متر,فروش,امیرشهید,,,,"‏۱۷,۰۰۰,۰۰۰,۰۰۰ تومان","‏۶۴,۱۵۰,۰۰۰ تومان",,۳۱ تیر ۱۴۰۵، ۱۱:۴۲,https://divar.ir/v/gagtXPM_
ویلا دونبش,فروش,بازکیاگوراب,۷۵,۱۳۸۳,۱,"‏۷,۲۰۰,۰۰۰,۰۰۰ تومان","‏۳۳,۶۴۴,۰۰۰ تومان",,۵ شهریور ۱۴۰۵، ۱۵:۴۹,https://divar.ir/v/gaQqyZw6
خانه در رزمندگان ۱۱ کوی زمانی لاهیجان,فروش,کوی زمانی,۹۰,۱۳۸۷,۲,"‏۷,۶۵۰,۰۰۰,۰۰۰ تومان","‏۸۵,۰۰۰,۰۰۰ تومان",همکف از ۳,۵ شهریور ۱۴۰۵، ۱۵:۴۷,https://divar.ir/v/gaQqC2Ug
خانه مسکونی ۶۵۰متری دیلمان,فروش,کوی زمانی,۸۵,۱۳۸۰,۲,"‏۴,۷۰۰,۰۰۰,۰۰۰ تومان","‏۷,۲۳۰,۰۰۰ تومان",,۲۰ تیر ۱۴۰۵، ۱۴:۳۵,https://divar.ir/v/gaQJwlrU
واحد170مترط اخرتماماویوجنگل ابد_بام سبزبرندلاهیجان,فروش,رجایی,۱۷۰,۱۴۰۵,۳,"‏۳۵,۰۰۰,۰۰۰,۰۰۰ تومان","‏۲۰۵,۸۸۲,۰۰۰ تومان",۵ از ۲,۵ شهریور ۱۴۰۵، ۱۵:۳۸,https://divar.ir/v/gaQiij9U
زمین,فروش,لیل,,,,"‏۱,۵۳۷,۰۰۰,۰۰۰ تومان","‏۷,۴۹۷,۰۰۰ تومان",,۵ شهریور ۱۴۰۵، ۱۵:۳۳,https://divar.ir/v/gaQeyiGF
۱۰۰۰مترزمین تمام مسکونی درکتشال فقط متری۲۰ م,فروش,کوه بیجار,,,,"‏۲۰,۰۰۰,۰۰۰,۰۰۰ تومان","‏۲۰,۰۰۰,۰۰۰ تومان",,۵ شهریور ۱۴۰۵، ۱۵:۲۰,https://divar.ir/v/gaQSCHRr
فروش ویلا در لاهیجان,فروش,آهندان,۱۶۴,۱۴۰۳,۳,"‏۳۲,۰۰۰,۰۰۰,۰۰۰ تومان","‏۵۳,۳۳۳,۰۰۰ تومان",,۵ شهریور ۱۴۰۵، ۱۵:۱۸,https://divar.ir/v/gaQOy0OB
واحد۱۱۰مترطبقه اخر_ویودارترین_ لوکیشن برندلاهیجان,فروش,شیخ زاهد,۱۱۰,۱۴۰۵,۲,"‏۱۴,۷۰۰,۰۰۰,۰۰۰ تومان","‏۱۳۳,۶۳۶,۰۰۰ تومان",۴ از ۴,۵ شهریور ۱۴۰۵، ۱۵:۱۶,https://divar.ir/v/gaQOSkJm
زمین لب اسفالت تاپ لول,فروش,لفمجان,,,,"‏۲,۲۰۰,۰۰۰,۰۰۰ تومان","‏۸,۵۹۳,۰۰۰ تومان",,۵ شهریور ۱۴۰۵، ۱۵:۱۳,https://divar.ir/v/gaQKCjIr
اجاره آپارتمان نبش یاسر ۸,رهن و اجاره,لیالستان,۷۰,۱۳۹۴,۲,,,۲,۵ شهریور ۱۴۰۵، ۱۲:۰۹,https://divar.ir/v/gaPe_ukm
فروش آپارتمان71 متری + بام تهرانی,فروش,حاجی آباد,۷۱,۱۴۰۰,۲,"‏۵,۴۹۰,۰۰۰,۰۰۰ تومان","‏۷۷,۳۲۳,۰۰۰ تومان",۱ از ۲,۳۱ مرداد ۱۴۰۵، ۰۱:۰۶,https://divar.ir/v/gaISMw8a
اپارتمان 77 متری شیک در خیابان کیاموسوی خوش قیمت,فروش,پردسر,۷۷,۱۳۹۶,۲,"‏۵,۸۵۰,۰۰۰,۰۰۰ تومان","‏۷۵,۹۷۴,۰۰۰ تومان",۳ از ۳,۳ تیر ۱۴۰۵، ۱۴:۲۱,https://divar.ir/v/ga7YrmSf
فروش زمین در لاهیجان با چک صیادی,فروش,بازکیاگوراب,,,,"‏۵۰۰,۰۰۰,۰۰۰ تومان","‏۲,۵۰۰,۰۰۰ تومان",,۸ اردیبهشت ۱۴۰۵، ۰۱:۴۲,https://divar.ir/v/Qav_dKnJ
زمین مسکونی و زراعی,فروش,لفمجان,,,,"‏۳,۸۸۰,۰۰۰,۰۰۰ تومان","‏۳,۴۹۸,۰۰۰ تومان",,۵ شهریور ۱۴۰۵، ۱۴:۴۵,https://divar.ir/v/gaQuh3gR
اجاره خانه,رهن کامل,گلستان,۷۵,۱۳۹۸,۲,,,۱ از ۲,۵ شهریور ۱۴۰۵، ۱۴:۴۰,https://divar.ir/v/gaQuhAJD
فروش آپارتمان ۸۵ متری فول در شقایق,فروش,شقایق,۸۵,۱۳۹۸,۲,"‏۱۰,۵۰۰,۰۰۰,۰۰۰ تومان","‏۱۲۳,۵۲۹,۰۰۰ تومان",۱ از ۵,۵ شهریور ۱۴۰۵، ۱۴:۳۴,https://divar.ir/v/gaQexPgH
۷۵ متری نقلی کلید نخورده_ فول امکانات_ فرصت طلایی,فروش,کوی استادان,۷۵,۱۴۰۵,۲,"‏۹,۷۵۰,۰۰۰,۰۰۰ تومان","‏۱۳۰,۰۰۰,۰۰۰ تومان",۱,۱۷ مرداد ۱۴۰۵، ۱۲:۲۶,https://divar.ir/v/ga29OB7R
فروش واحد مسکونی,فروش,گلستان,۱۲۰,۱۳۸۸,۳,"‏۲۱,۶۰۰,۰۰۰,۰۰۰ تومان","‏۱۸۰,۰۰۰,۰۰۰ تومان",۲ از ۳,۵ شهریور ۱۴۰۵، ۱۴:۰۰,https://divar.ir/v/gaQCRh6_
فروش ویلا ۷۵ متری با ۳۵ مترتراس ویودارو در دیلمان,فروش,کوی خزر,۷۵,۱۴۰۵,۲,"‏۶,۲۰۰,۰۰۰,۰۰۰ تومان","‏۳۱,۰۰۰,۰۰۰ تومان",,۵ شهریور ۱۴۰۵، ۱۴:۲۰,https://divar.ir/v/gaQaBKza
آپارتمان تک واحدی ۷۵متری طبقه دوم دوخوابه کیاموسوی,فروش,شهرک فرهنگیان,۷۵,۱۴۰۱,۲,"‏۷,۵۰۰,۰۰۰,۰۰۰ تومان","‏۱۰۰,۰۰۰,۰۰۰ تومان",۲ از ۲,۵ شهریور ۱۴۰۵، ۱۴:۱۸,https://divar.ir/v/gaQWB80a
ویلا باغ بی واسطه لاهیجان,فروش,آهندان,۱۵۰,۱۴۰۳,۴,"‏۲۵,۰۰۰,۰۰۰,۰۰۰ تومان","‏۶۲,۵۰۰,۰۰۰ تومان",,۴ اردیبهشت ۱۴۰۵، ۱۴:۳۵,https://divar.ir/v/Qar7Efca
ویلانوساز100mنزدیک بالاشهرکاشف شرقی شیک زیبا,رهن کامل,قیام,۷۰,۱۴۰۴,۲,,,,۳۱ مرداد ۱۴۰۵، ۰۹:۲۲,https://divar.ir/v/gaJiT7r_
۳۰ثانیه تا استخر90mفانتزی هوشمندگلستان فول آپشن,رهن و اجاره,گلستان,۹۰,۱۴۰۰,۲,,,۱,۳۱ مرداد ۱۴۰۵، ۰۹:۲۰,https://divar.ir/v/gaJiDTSt
واحد نقلی خوش قیمت در لوکیشن برند آماده سکونت,فروش,گلستان,۵۰,۱۳۹۰,۱,"‏۶,۲۰۰,۰۰۰,۰۰۰ تومان","‏۱۲۴,۰۰۰,۰۰۰ تومان",۱ از ۳,۵ شهریور ۱۴۰۵، ۱۳:۰۸,https://divar.ir/v/gaQOQzyR
موقعیت ممتاز تجاری۱۳۶متری شیخ زاهدلاهیجان,فروش,شیخ زاهد,۱۳۶,۱۳۹۷,بدون اتاق,"‏۸۵,۰۰۰,۰۰۰,۰۰۰ تومان","‏۶۲۵,۰۰۰,۰۰۰ تومان",,۲۰ مرداد ۱۴۰۵، ۱۳:۲۳,https://divar.ir/v/ga6BvpSb
پیش فروش واحد مسکونی در صادقیه,فروش,شهید آوینی,۱۵۲,۱۴۰۵,۳,"‏۲۵,۸۶۰,۰۰۰,۰۰۰ تومان","‏۱۷۰,۱۳۱,۰۰۰ تومان",۵ از ۵,۱۶ مرداد ۱۴۰۵، ۲۱:۰۴,https://divar.ir/v/ga2Zhsqn
فروش زمین به مساحت حدوداً ۳۸۰ متر مربع,فروش,لیالستان,,,,"‏۷,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۸,۴۲۱,۰۰۰ تومان",,۲ شهریور ۱۴۰۵، ۱۵:۰۱,https://divar.ir/v/gaMqCuAH
۳هزارمترکشا ورزی سنتی درکوجیل بالا,فروش,لفمجان,,,,"‏۴,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱,۳۳۳,۰۰۰ تومان",,۲۶ مرداد ۱۴۰۵، ۱۴:۱۵,https://divar.ir/v/gaCWepjN
ویلای ساحلی نوساز با سند تک برگ و پروانه,فروش,انقلاب,۱۷۰,۱۴۰۵,۳,"‏۱۵,۵۰۰,۰۰۰,۰۰۰ تومان","‏۱۹,۶۷۰,۰۰۰ تومان",,۳۰ تیر ۱۴۰۵، ۰۲:۰۸,https://divar.ir/v/gaeNKIzE
ویلا در زمیدان روبروی تالاب نبش باباپور 3,فروش,لیل,۳۸۰,۱۴۰۴,۳,"‏۴۲,۰۰۰,۰۰۰,۰۰۰ تومان","‏۸۷,۵۰۰,۰۰۰ تومان",,۲۱ تیر ۱۴۰۵، ۱۸:۲۶,https://divar.ir/v/gaTpq45n
فروش خانه ویلایی (دو واحدی) در کتشال بالا,فروش,لیل,۲۰۰,۱۳۹۰,۲,"‏۱۶,۰۰۰,۰۰۰,۰۰۰ تومان","‏۸۰,۰۰۰,۰۰۰ تومان",,۱۲ تیر ۱۴۰۵، ۱۳:۳۴,https://divar.ir/v/gaHho_28
سویت مستقل بر خیابان خزر,رهن و اجاره,کوی خزر,۶۰,۱۳۹۰,۱,,,همکف,۶ مرداد ۱۴۰۵، ۱۶:۱۵,https://divar.ir/v/gaoRqLWh
اجاره  دو باب مغازه بر اصلی اتوبان,رهن و اجاره,لیالستان,۱۵۰,۱۳۹۶,بدون اتاق,,,,۲۶ تیر ۱۴۰۵، ۰۹:۱۴,https://divar.ir/v/gaZFcDO0
اجاره واحد ۷۲ متری بر اصلی خیابان سردار جنگل,رهن و اجاره,شهرک فرهنگیان,۷۲,۱۳۸۶,۲,,,۲ از ۳,۲ شهریور ۱۴۰۵، ۱۱:۴۰,https://divar.ir/v/gaLyvcDU
اجاره مغازه در بازار روز لاهیجان,رهن و اجاره,انقلاب,۶,۱۳۷۱,۱,,,,۵ شهریور ۱۴۰۵، ۱۲:۰۴,https://divar.ir/v/gaPa_emF
اجاره ملک تجاری بر اول اتوبان رشت لاهیجان,رهن و اجاره,شیشه گران,۲۶۰,۱۳۹۰,۲,,,,۲۰ مرداد ۱۴۰۵، ۱۷:۵۱,https://divar.ir/v/ga79SbS3
میدان برق85m فول آپشن_ کارا,فروش,کوی آزادگان,۸۵,۱۳۹۹,۲,"‏۸,۵۰۰,۰۰۰,۰۰۰ تومان","‏۱۰۰,۰۰۰,۰۰۰ تومان",۲,۲ شهریور ۱۴۰۵، ۱۲:۵۷,https://divar.ir/v/gaM6wPiu
نمارومی_پارکینگ سند_کمربندی _ کارا,فروش,گلستان,۷۰,۱۴۰۵,۲,"‏۶,۹۰۰,۰۰۰,۰۰۰ تومان","‏۹۸,۵۷۱,۰۰۰ تومان",۲,۲ شهریور ۱۴۰۵، ۱۳:۳۵,https://divar.ir/v/gaMexG3C
اجاره ویلا 75 متری در گلستان,رهن و اجاره,گلستان,۷۵,۱۳۹۰,۱,,,,۵ شهریور ۱۴۰۵، ۱۱:۴۸,https://divar.ir/v/gaPKfykW
گمل پایین_۲۹۵متر مسکونی_با پروانه,فروش,حزین,,,,"‏۴,۵۰۰,۰۰۰,۰۰۰ تومان","‏۱۵,۲۵۴,۰۰۰ تومان",,۲۱ مرداد ۱۴۰۵، ۱۱:۲۰,https://divar.ir/v/ga8VRkum
معاوضه‌ زمین  مسکونی با آپارتمان (توضیحات),فروش,لیالستان,,,,"‏۱۳,۶۰۰,۰۰۰,۰۰۰ تومان","‏۴۰,۰۰۰,۰۰۰ تومان",,۳۰ مرداد ۱۴۰۵، ۱۰:۴۲,https://divar.ir/v/gaHa9DnS
خونه روستایی 200 متری,فروش,یحی آباد,۷۵,۱۳۷۵,۲,"‏۳,۱۰۰,۰۰۰,۰۰۰ تومان","‏۱۵,۵۰۰,۰۰۰ تومان",,۵ شهریور ۱۴۰۵، ۱۱:۳۹,https://divar.ir/v/gaPCvcAu
فروشی,فروش,گلستان,۶۲,۱۳۹۳,۱,"‏۶,۲۰۰,۰۰۰,۰۰۰ تومان","‏۱۰۰,۰۰۰,۰۰۰ تومان",۲ از ۲,۵ شهریور ۱۴۰۵، ۱۱:۲۳,https://divar.ir/v/gaPme-bl
اجاره سوییت 60متری در خیابان مطهری (یاسر),رهن کامل,لیالستان,۶۰,۱۳۹۷,۱,,,,۱۱ مرداد ۱۴۰۵، ۲۱:۲۳,https://divar.ir/v/gavRIJLx
اجاره خانه ویلایی مستقل,رهن و اجاره,لیل,۷۰,۱۳۹۰,۱,,,,۳۰ مرداد ۱۴۰۵، ۱۲:۵۹,https://divar.ir/v/gaIqxeP4
زمین مسکونی با ویو ابدی، ۲۴۶۰متر کوهستانی زیر قیمت,فروش,رجایی,,,,"‏۱۴,۰۰۰,۰۰۰,۰۰۰ تومان","‏۵,۶۹۱,۰۰۰ تومان",,۱ مرداد ۱۴۰۵، ۱۱:۱۸,https://divar.ir/v/gahd8TcJ
رهن واحد ۱۰۰متری خزر طبقه اول,رهن کامل,کوی خزر,۱۰۰,۱۳۹۸,۲,,,۱,۵ شهریور ۱۴۰۵، ۱۱:۰۹,https://divar.ir/v/gaPm-t1y
واحد نوساز ۸۰ متری خوش نقشه فوری فروشی,فروش,کوی زمانی,۸۲,۱۴۰۵,۲,"‏۸,۹۰۰,۰۰۰,۰۰۰ تومان","‏۱۰۸,۵۳۶,۰۰۰ تومان",۲,۲۵ تیر ۱۴۰۵، ۱۸:۳۱,https://divar.ir/v/gaYFfwYM
فروش فوری واحد راه مستقل 58متری یاسر,فروش,لیالستان,۵۸,۱۳۹۳,۱,"‏۵,۱۵۰,۰۰۰,۰۰۰ تومان","‏۸۸,۷۹۳,۰۰۰ تومان",۱,۱۰ مرداد ۱۴۰۵، ۱۳:۳۹,https://divar.ir/v/gatVMtSG
اجاره واحد ۷۵ متری در گلستان فرد,رهن و اجاره,گلستان,۷۵,۱۴۰۰,۲,,,۲ از ۳,۲ شهریور ۱۴۰۵، ۱۶:۲۳,https://divar.ir/v/gaM6jvvL
زمین مسکونی ۴۰۰متر,فروش,لفمجان,,,,"‏۲,۸۰۰,۰۰۰,۰۰۰ تومان","‏۷,۰۰۰,۰۰۰ تومان",,۱۶ مرداد ۱۴۰۵، ۱۵:۳۵,https://divar.ir/v/ga1l8nFN
فروش زمین کشاورزی,فروش,بازکیاگوراب,,,بدون اتاق,"‏۱,۳۰۰,۰۰۰ تومان",‏۰ تومان,,۵ شهریور ۱۴۰۵، ۱۰:۵۷,https://divar.ir/v/gaPaeuSU
اجاره مغازه ۱۴ متری طبقه دوم پاساژ ارژنگ,رهن و اجاره,انقلاب,۱۴,۱۳۹۷,بدون اتاق,,,,۵ شهریور ۱۴۰۵، ۱۰:۵۱,https://divar.ir/v/gaPW-G2a
رهن و اجاره ویلایی در خیابان یاسر,رهن و اجاره,کوی آزادگان,۸۰,۱۳۹۰,۲,,,,۵ شهریور ۱۴۰۵، ۱۰:۴۹,https://divar.ir/v/gaPSO9pt
۱۱۸ متر در گلستان ۳,فروش,شیخ زاهد,۱۱۸,۱۴۰۵,۳,"‏۲۰,۸۳۰,۰۰۰,۰۰۰ تومان","‏۱۷۶,۵۲۵,۰۰۰ تومان",۴ از ۴,۵ شهریور ۱۴۰۵، ۱۰:۴۹,https://divar.ir/v/gaPSe1DQ
اپارتمان ۱۰۱ متری در حوالی میدان تربیت,فروش,شهرک جانبازان,۱۰۱,۱۳۹۷,۲,"‏۱۰,۶۰۰,۰۰۰,۰۰۰ تومان","‏۱۰۴,۹۵۰,۰۰۰ تومان",۲ از ۲,۵ شهریور ۱۴۰۵، ۱۰:۴۸,https://divar.ir/v/gaPSeyMa
1000متر زمین داخل طرح 5_990صنوبرکاری ویوو زیر قیمت,فروش,لیالستان,,,,"‏۵,۹۹۰,۰۰۰,۰۰۰ تومان","‏۵,۹۹۰,۰۰۰ تومان",,۱۷ تیر ۱۴۰۵، ۰۷:۴۵,https://divar.ir/v/gaGtR7Cw
آپارتمان ۱۱۶متری نوساز خیابان کارگر لاهیجان,فروش,رجایی,۱۱۶,۱۴۰۵,۲,"‏۳۱,۳۲۰,۰۰۰,۰۰۰ تومان","‏۲۷۰,۰۰۰,۰۰۰ تومان",۲ از ۶,۴ شهریور ۱۴۰۵، ۱۹:۵۳,https://divar.ir/v/gaPKR9Ul
فروش زمین ۲۱۲متری کتشال با ویو تالاب,فروش,لیل,,,,"‏۷,۴۲۰,۰۰۰,۰۰۰ تومان","‏۳۵,۰۰۰,۰۰۰ تومان",,۵ شهریور ۱۴۰۵، ۱۰:۴۶,https://divar.ir/v/gaP6NId0
ویلایی در ۵دقیقه ای لاهیجان,فروش,لیالستان,۹۵,۱۴۰۵,۲,"‏۸,۰۰۰,۰۰۰,۰۰۰ تومان","‏۳۴,۳۳۴,۰۰۰ تومان",,۲۶ تیر ۱۴۰۵، ۱۰:۴۲,https://divar.ir/v/gaZVNv5V
اجاره ی مغازه,رهن و اجاره,خمیر کلایه,۳۰,۱۳۹۶,بدون اتاق,,,,۵ شهریور ۱۴۰۵، ۱۰:۳۶,https://divar.ir/v/gaPGO7Tz
۱۵۰ متر زمین شهری با سند تک برگ.مالک هستم,فروش,حاجی آباد,,,,"‏۶,۰۰۰,۰۰۰,۰۰۰ تومان","‏۴۰,۰۰۰,۰۰۰ تومان",,۲ مرداد ۱۴۰۵، ۱۳:۳۰,https://divar.ir/v/gajVjueM
خانه ویلایی 92متری سند تک برگ عرصه و اعیان لاهیجان,فروش,آهندان,۹۲,۱۴۰۰,۲,"‏۷,۰۰۰,۰۰۰,۰۰۰ تومان","‏۲۸,۴۵۵,۰۰۰ تومان",,۲ شهریور ۱۴۰۵، ۱۱:۳۸,https://divar.ir/v/gaLuf4UZ
قطعه زمین ۷۳۵متری,فروش,آهندان,,,,"‏۱,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱,۳۶۰,۰۰۰ تومان",,۲۸ مرداد ۱۴۰۵، ۱۰:۴۹,https://divar.ir/v/gaFi1e2B
فروش  فوری،۱۱۲متر ویلایی _ طالقانی ۷,فروش,طالقانی,۹۰,قبل از ۱۳۷۰,۲,"‏۵,۰۰۰,۰۰۰,۰۰۰ تومان","‏۴۴,۶۴۲,۰۰۰ تومان",,۲۰ بهمن ۱۴۰۴، ۱۹:۰۲,https://divar.ir/v/QaJ2_-_O
